"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",허경영,김동연,기타,없음,모름
서울,231,190,32.0%,46.0%,3.7%,12.7%,1.4%,0.0%,0.7%,1.9%,1.6%
"경기,인천",305,319,36.6%,45.4%,3.0%,8.0%,3.0%,1.4%,0.3%,1.7%,0.8%
"대전,세종,충남북,강원",127,137,41.3%,36.6%,2.6%,13.1%,3.1%,0.4%,0.8%,2.0%,0.0%
"광주,전남북,제주",119,111,58.1%,26.4%,1.5%,5.7%,1.8%,1.1%,0.0%,5.4%,0.0%
"대구,경북",92,99,25.3%,58.2%,0.7%,11.0%,1.9%,0.7%,0.0%,2.3%,0.0%
"부산,울산,경남",134,152,24.7%,51.4%,3.2%,7.4%,3.3%,2.8%,0.9%,5.7%,0.5%
,,,,,,,,,,,
