"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름
광주,414,435,70.1%,16.0%,3.0%,6.5%,1.6%,2.1%,0.6%
전남,587,566,73.7%,14.8%,2.6%,5.0%,0.7%,1.8%,1.5%
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
