"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,허경영,기타,없음,모름
서울,215,189,29.80%,54.30%,3.10%,2.20%,1.80%,4.00%,0.00%,3.80%,1.10%
"경기,인천",321,315,34.80%,43.60%,5.30%,4.60%,1.50%,3.70%,0.40%,5.10%,1.00%
"대전,세종,충남북,강원",136,136,35.30%,39.40%,4.70%,3.10%,2.20%,7.20%,0.60%,6.00%,1.60%
"광주,전남북,제주",131,111,50.70%,28.70%,6.20%,3.60%,0.90%,6.00%,0.00%,3.30%,0.70%
"대구,경북",89,98,31.40%,51.50%,4.60%,3.70%,0.00%,3.10%,0.90%,1.80%,2.90%
"부산,울산,경남",130,151,34.10%,48.50%,2.20%,5.40%,0.00%,4.30%,0.70%,4.80%,0.00%
