"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름
서울,209,190,36.1%,37.7%,4.3%,9.8%,0.9%,4.1%,7.0%,0.0%
"경기,인천",288,315,37.4%,36.0%,1.5%,7.8%,1.2%,3.6%,11.5%,1.0%
"대전,세종,충남북",107,105,39.7%,42.3%,1.3%,1.1%,2.6%,5.2%,6.0%,1.8%
"광주,전남북",106,98,62.7%,18.5%,0.7%,6.2%,1.4%,4.2%,4.7%,1.6%
"대구,경북",97,98,26.8%,47.7%,3.0%,8.8%,0.9%,5.3%,5.1%,2.4%
"부산,울산,경남",147,150,36.0%,42.2%,1.1%,4.0%,1.0%,7.0%,6.3%,2.3%
"강원,제주",46,44,48.9%,40.6%,2.3%,0.0%,0.0%,1.6%,4.2%,2.3%
