"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",허경영,김동연,기타,없음,모름
서울,205,189,35.4%,46.2%,2.9%,8.6%,2.5%,0.5%,0.0%,2.4%,1.5%
"경기,인천",322,317,43.0%,41.4%,3.4%,7.7%,1.2%,0.5%,0.4%,1.8%,0.6%
"대전,세종,충남북",101,107,42.5%,47.6%,1.8%,7.2%,0.0%,0.0%,0.0%,0.9%,0.0%
"광주,전남북",93,98,68.2%,15.4%,9.1%,4.9%,0.0%,0.0%,0.7%,0.9%,0.7%
"대구,경북",99,98,25.4%,57.1%,1.4%,8.6%,0.9%,0.9%,0.9%,2.0%,2.9%
"부산,울산,경남",141,152,32.3%,50.0%,3.6%,8.4%,1.2%,1.6%,0.8%,2.1%,0.0%
"강원,제주",44,44,38.3%,45.9%,2.3%,8.3%,1.8%,0.0%,0.0%,3.4%,0.0%
