"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,
광산구,273,271,67.3%,13.1%,3.2%,6.7%,1.4%,5.7%,2.5%,
남구,148,149,75.7%,7.3%,2.7%,8.9%,0.7%,4.1%,0.7%,
동구,75,75,72.0%,13.8%,2.7%,8.9%,0.0%,2.7%,0.0%,
북구,301,302,66.7%,10.0%,4.6%,8.8%,3.1%,5.5%,1.4%,
서구,206,206,61.6%,15.4%,3.6%,9.1%,1.1%,5.7%,3.6%,
