"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름
서울,185,189,36.4%,27.7%,3.7%,11.7%,0.5%,3.8%,10.9%,5.3%
"경기,인천",315,314,42.0%,23.1%,3.7%,6.1%,0.0%,2.9%,15.0%,7.2%
"대전,세종,충남북",108,107,35.7%,31.7%,3.4%,9.7%,1.7%,3.7%,10.5%,3.5%
"광주,전남북",99,98,67.2%,6.7%,2.9%,4.6%,0.0%,2.3%,6.8%,9.5%
"대구,경북",97,98,22.6%,44.6%,1.2%,9.8%,0.0%,3.9%,8.1%,9.9%
"부산,울산,경남",153,150,33.8%,36.3%,1.5%,8.5%,0.7%,4.2%,12.2%,2.9%
"강원,제주",43,44,34.9%,21.7%,8.0%,4.5%,3.0%,8.7%,14.0%,5.1%
