"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,
서울,190,187,40.0%,23.0%,4.0%,10.0%,1.0%,16.0%,6.0%,
"경기,인천",312,314,40.0%,27.0%,1.0%,12.0%,2.0%,14.0%,5.0%,
"대전,세종,충남북",109,108,32.0%,29.0%,5.0%,14.0%,3.0%,16.0%,2.0%,
"광주,전남북",98,99,62.0%,9.0%,3.0%,7.0%,3.0%,12.0%,4.0%,
"대구,경북",96,97,18.0%,44.0%,1.0%,14.0%,3.0%,8.0%,12.0%,
"부산,울산,경남",152,152,27.0%,36.0%,2.0%,13.0%,2.0%,16.0%,5.0%,
"강원,제주",43,43,28.0%,28.0%,0.0%,16.0%,0.0%,14.0%,14.0%,
