"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",허경영,기타,없음,모름
서울,204,189,35.20%,46.90%,2.80%,3.20%,1.80%,1.10%,6.40%,2.70%
"경기,인천",323,314,43.90%,40.60%,2.60%,2.10%,4.90%,1.60%,3.00%,1.30%
"대전,세종,충남북",96,107,32.50%,46.00%,3.30%,9.40%,1.30%,0.00%,5.20%,2.30%
"광주,전남북",98,98,63.90%,17.40%,3.00%,4.20%,5.20%,3.00%,3.30%,0.00%
"대구,경북",96,98,27.90%,58.00%,3.70%,2.30%,2.10%,1.00%,3.60%,1.40%
"부산,울산,경남",149,150,32.10%,49.50%,4.20%,4.70%,3.40%,1.50%,4.00%,0.70%
"강원,제주",43,44,34.90%,49.00%,5.30%,0.00%,5.20%,0.00%,5.60%,0.00%
