"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름
서울,188,188,32.1%,39.3%,4.3%,9.5%,1.6%,5.3%,8.0%
"경기,인천",315,315,38.7%,43.2%,3.3%,5.4%,0.9%,5.4%,2.9%
"대전,세종,충남북",107,106,40.3%,39.7%,0.9%,9.0%,0.8%,6.3%,2.8%
"광주,전남북",100,98,67.5%,18.8%,1.6%,2.9%,1.0%,4.5%,3.8%
"대구,경북",97,98,22.8%,54.9%,0.0%,7.4%,1.0%,7.3%,6.5%
"부산,울산,경남",150,151,28.7%,51.1%,1.4%,9.6%,0.0%,5.9%,3.2%
"강원,제주",43,44,27.1%,51.7%,0.0%,4.5%,2.3%,7.6%,6.8%
