"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",허경영,김동연,기타,없음,모름
서울,201,189,43.5%,34.8%,3.9%,8.8%,2.0%,0.5%,0.0%,5.5%,1.0%
"경기,인천",315,317,39.4%,36.2%,3.6%,8.0%,2.0%,0.0%,1.0%,6.9%,2.8%
"대전,세종,충남북",100,107,51.5%,32.2%,2.9%,7.8%,0.0%,0.8%,1.0%,2.9%,0.9%
"광주,전남북",93,98,69.6%,8.4%,5.1%,5.4%,3.0%,1.0%,0.0%,7.4%,0.0%
"대구,경북",101,98,27.4%,59.3%,3.7%,5.4%,0.9%,0.0%,1.0%,1.4%,0.8%
"부산,울산,경남",149,152,40.1%,42.7%,2.5%,7.2%,2.5%,0.0%,0.0%,3.8%,1.1%
"강원,제주",46,44,49.6%,36.9%,0.0%,4.5%,1.8%,1.8%,0.0%,2.3%,3.0%
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
