"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름
대구,469,473,21.00%,65.10%,2.40%,6.50%,1.40%,3.50%,0.10%
경북,531,527,20.70%,67.40%,3.10%,5.40%,1.30%,1.20%,0.90%
전체,1000,1000,20.90%,66.30%,2.70%,5.90%,1.30%,2.30%,0.50%
