"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,
동구,84,59,57.8%,18.1%,8.2%,2.6%,1.0%,9.2%,3.1%,
서구,163,166,68.1%,12.5%,5.2%,4.6%,0.6%,6.7%,2.2%,
남구,146,122,68.5%,14.3%,2.6%,3.7%,2.0%,6.8%,2.1%,
북구,225,243,64.0%,7.3%,8.9%,5.6%,0.7%,10.5%,2.9%,
광산구,190,218,62.4%,11.8%,7.7%,5.4%,3.6%,6.4%,2.6%,
,,,,,,,,,,
,,,,,,,,,,
