"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",허경영,기타,없음,모름
서울,208,190,36.8%,41.6%,2.4%,14.6%,2.5%,0.7%,0.9%,0.5%
"경기,인천",313,315,40.9%,39.7%,1.5%,11.3%,2.1%,0.5%,3.6%,0.3%
"대전,세종,충남북",101,106,31.9%,45.5%,2.8%,13.1%,6.0%,0.0%,0.7%,0.0%
"대구,경북",96,98,25.7%,55.2%,0.0%,10.4%,6.7%,0.0%,2.1%,0.0%
"부산,울산,경남",143,150,33.4%,43.4%,7.1%,6.4%,3.9%,0.6%,4.8%,0.5%
"광주,전남북",104,98,56.1%,29.0%,4.8%,5.1%,2.5%,0.7%,0.7%,1.1%
"강원,제주",36,44,28.4%,33.0%,3.1%,7.4%,14.9%,0.0%,10.0%,3.1%
