"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",유보,유보2,
서울,191,191,36.0%,26.0%,5.0%,14.0%,16.0%,3.0%,
"경기,인천",316,316,36.0%,25.0%,5.0%,15.0%,15.0%,4.0%,
"대전,세종,충남북",103,103,33.0%,25.0%,4.0%,17.0%,16.0%,5.0%,
"광주,전남북",101,101,65.0%,7.0%,4.0%,14.0%,9.0%,1.0%,
"대구,경북",94,94,16.0%,42.0%,4.0%,18.0%,18.0%,2.0%,
"부산,울산,경남",153,153,33.0%,31.0%,2.0%,17.0%,13.0%,4.0%,
