"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,,,
"중구,남구,서구,북구",292,282,18.8%,64.8%,3.0%,7.5%,1.2%,3.6%,1.1%,,,
"동구,수성구",269,253,18.0%,60.8%,3.1%,9.5%,2.0%,5.5%,1.1%,,,
"달성군,달서구",239,265,24.6%,52.2%,4.8%,7.1%,1.4%,8.8%,1.2%,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
