"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,
서울,391,286,33.9%,39.6%,3.8%,11.0%,3.1%,7.1%,1.4%,
"경기,인천",482,475,39.4%,42.4%,3.3%,6.4%,2.1%,4.2%,2.2%,
"대전,세종,충남북",138,159,39.8%,41.9%,0.0%,8.6%,2.9%,4.2%,2.6%,
강원,41,45,31.8%,42.8%,0.0%,11.1%,5.9%,8.5%,0.0%,
"부산,울산,경남",186,229,34.3%,51.0%,2.3%,5.2%,1.5%,3.4%,2.3%,
"대구,경북",116,149,22.5%,66.7%,3.5%,5.4%,0.0%,1.9%,0.0%,
"광주,전남북",134,147,60.0%,23.2%,1.0%,8.1%,2.7%,2.7%,2.4%,
제주,21,19,68.3%,22.8%,0.0%,4.9%,4.1%,0.0%,0.0%,
