"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수","	기타",없음,모름
서울,191,189,31.00%,33.00%,4.00%,7.00%,1.00%,17.00%,7.00%
"경기,인천",321,314,35.00%,32.00%,5.00%,5.00%,2.00%,12.00%,10.00%
"대전,세종,충남북",108,108,33.00%,39.00%,5.00%,2.00%,0.00%,14.00%,6.00%
"광주,전남북",102,98,63.00%,8.00%,3.00%,5.00%,3.00%,12.00%,7.00%
"대구,경북",99,97,16.00%,48.00%,4.00%,5.00%,1.00%,19.00%,6.00%
"부산,울산,경남",151,152,23.00%,42.00%,4.00%,5.00%,1.00%,17.00%,8.00%
"강원,제주",43,42,35.00%,32.00%,2.00%,2.00%,2.00%,13.00%,13.00%
