"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",허경영,기타,없음,모름
서울,204,190,36.1%,49.3%,2.5%,5.2%,3.4%,0.0%,2.4%,1.2%
"경기,인천",303,315,34.9%,48.4%,1.5%,10.2%,1.9%,0.7%,1.3%,1.1%
"대전,세종,충남북",103,106,30.8%,52.8%,3.2%,4.2%,4.7%,0.0%,2.6%,1.8%
"대구,경북",97,98,32.2%,58.0%,2.1%,4.9%,1.9%,0.0%,1.0%,0.0%
"부산,울산,경남",148,150,36.3%,51.3%,1.4%,8.3%,0.0%,0.5%,1.4%,0.7%
"광주,전남북",100,98,58.5%,29.3%,2.3%,6.2%,2.8%,0.8%,0.0%,0.0%
"강원,제주",46,44,33.4%,53.4%,1.8%,6.1%,2.9%,0.0%,2.4%,0.0%
