"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름
서울,774,570,36.20%,46.50%,3.80%,4.30%,1.90%,4.80%,2.50%
"경기,인천",906,942,42.50%,40.80%,3.20%,3.00%,2.20%,5.00%,3.40%
"대전,세종,충남북",294,318,34.70%,46.80%,3.80%,5.70%,5.30%,2.40%,1.20%
강원,105,90,36.30%,51.50%,3.60%,2.70%,2.90%,2.50%,0.60%
"부산,울산,경남",373,456,32.00%,48.10%,2.60%,5.20%,3.00%,6.50%,2.50%
"대구,경북",267,294,19.00%,63.70%,3.10%,3.00%,2.00%,6.50%,2.80%
"광주,전남북",283,294,60.50%,20.90%,3.10%,4.00%,2.20%,9.10%,0.20%
제주,41,36,31.10%,54.60%,0.00%,0.00%,4.60%,9.70%,0.00%
