"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름,,
서울,215,189,37.40%,47.70%,3.70%,6.70%,0.00%,2.10%,2.10%,0.40%,,
"경기,인천",335,316,38.20%,43.60%,2.80%,12.20%,0.80%,0.80%,0.80%,0.80%,,
"대전,세종,충남북",103,107,36.00%,48.50%,1.30%,10.40%,0.80%,0.00%,1.80%,1.00%,,
"광주,전남북",107,98,64.10%,22.40%,3.20%,5.20%,0.00%,0.80%,3.30%,1.00%,,
"대구,경북",80,98,34.70%,48.50%,3.40%,10.70%,0.00%,1.10%,1.60%,0.00%,,
"부산,울산,경남",125,151,33.20%,57.30%,1.60%,5.30%,0.00%,0.00%,2.50%,0.00%,,
"강원,제주",38,44,33.30%,47.10%,2.20%,9.30%,2.80%,0.00%,2.60%,2.70%,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
