"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,
서울,215,197,37.70%,39.60%,3.00%,8.90%,3.20%,1.90%,5.70%,
"경기,인천",309,328,40.00%,39.90%,2.70%,11.30%,0.60%,1.60%,3.90%,
"대전,세종,충남북",106,111,33.60%,40.50%,4.20%,14.00%,0.80%,2.10%,4.90%,
"광주,전남북",106,104,59.20%,19.80%,2.70%,7.50%,3.70%,2.60%,4.60%,
"대구,경북",98,101,21.10%,57.70%,0.80%,6.60%,4.10%,0.00%,9.70%,
"부산,울산,경남",160,157,31.50%,50.30%,2.30%,8.40%,1.30%,1.30%,5.00%,
"강원,제주",49,45,23.70%,52.90%,0.00%,17.70%,4.40%,0.00%,1.30%,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
