"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",허경영,김동연,기타,없음,모름
동구,501,409,37.9%,35.7%,4.6%,5.9%,3.4%,1.7%,0.5%,8.1%,2.2%
중구,538,424,34.1%,42.8%,4.2%,5.6%,2.8%,0.2%,0.2%,8.0%,1.9%
서구,507,845,37.8%,35.5%,5.1%,6.4%,3.3%,1.5%,0.8%,7.1%,2.5%
유성구,508,607,38.5%,36.5%,4.8%,5.8%,3.8%,0.8%,0.7%,8.1%,1.2%
대덕구,550,319,38.2%,37.0%,4.1%,5.6%,3.4%,0.6%,0.0%,8.5%,2.5%
