"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름
"강서구,사상구,사하구,북구",273,279,34.8%,48.5%,4.1%,8.4%,1.0%,1.1%,0.6%,1.4%
"동래구,연제구,수영구,남구",286,273,31.6%,54.1%,2.6%,6.8%,0.7%,0.3%,2.9%,1.1%
"부산진구,영도구,동구,서구,중구",195,214,32.1%,50.9%,5.4%,6.4%,0.5%,2.4%,0.5%,1.9%
"해운대구,금정구,기장군",246,234,30.8%,54.9%,3.5%,8.0%,0.4%,2.1%,0.4%,0.0%
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
