"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름
전체,714,714,43.40%,41.10%,2.80%,7.70%,0.70%,1.00%,1.70%,1.50%
,,,,,,,,,,
