"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,
서울,197,189,38.3%,34.9%,6.1%,13.2%,0.5%,4.5%,2.5%,
"경기,인천",323,317,40.4%,34.2%,3.8%,13.0%,1.5%,5.3%,1.8%,
"대전,세종,충남북",104,107,43.4%,34.6%,5.7%,10.1%,1.8%,2.8%,1.6%,
"광주,전남북",94,98,69.2%,14.6%,3.2%,4.3%,1.9%,5.9%,1.0%,
"대구,경북",96,98,17.7%,55.9%,3.4%,9.9%,2.0%,8.8%,2.2%,
"부산,울산,경남",152,152,26.2%,43.5%,2.6%,16.6%,2.5%,3.9%,4.6%,
"강원,제주",39,44,24.1%,51.4%,4.4%,3.6%,3.0%,9.8%,3.6%,
