"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름
천안시,269,243,36.90%,45.50%,1.60%,10.90%,0.00%,1.30%,2.90%,0.90%
"아산,당진시",164,180,33.40%,46.90%,5.50%,7.70%,0.50%,2.10%,2.60%,1.30%
"보령,서산시,서천,예산,태안,홍성군",221,219,33.10%,49.40%,5.40%,8.00%,0.60%,0.60%,1.70%,1.30%
"공주,논산,계룡시,금산,부여,청양군",147,159,38.70%,47.60%,1.40%,6.20%,1.40%,1.40%,1.80%,1.40%
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
