"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,,,
서울,213,190,31.2%,50.5%,0.9%,4.8%,1.9%,9.0%,1.7%,,,
"부산,울산,경남",150,151,37.7%,49.0%,1.5%,4.2%,0.0%,7.6%,0.0%,,,
"대구,경북",104,98,21.1%,64.8%,2.0%,1.9%,1.0%,8.3%,0.8%,,,
"경기,인천",306,314,46.2%,35.6%,6.3%,2.4%,2.4%,6.5%,0.6%,,,
"광주,전남북",105,98,69.9%,12.5%,2.6%,4.0%,4.1%,6.1%,0.9%,,,
"대전,세종,충남북",89,106,43.3%,39.7%,0.0%,4.3%,5.6%,5.6%,1.6%,,,
강원,30,30,22.3%,43.4%,1.7%,4.2%,0.0%,23.3%,5.0%,,,
제주,14,13,23.1%,38.5%,0.0%,15.4%,0.0%,23.1%,0.0%,,,
