"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,
서울,240,189,31.0%,40.2%,6.1%,4.0%,2.1%,15.0%,1.6%,
"경기,인천",319,315,32.8%,37.8%,2.6%,3.7%,3.1%,14.3%,5.7%,
"대전,세종,충남북",92,106,31.2%,34.7%,3.8%,5.0%,3.4%,16.8%,5.2%,
"광주,전남북",95,98,59.7%,13.6%,2.9%,2.8%,1.0%,13.4%,6.5%,
"대구,경북",84,97,19.2%,57.9%,2.1%,2.7%,4.5%,13.7%,0.0%,
"부산,울산,경남",126,151,28.2%,42.0%,3.7%,3.3%,1.1%,15.2%,6.4%,
"강원,제주",56,44,28.3%,41.4%,1.7%,1.4%,3.5%,16.3%,7.3%,
