"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,허경영,기타,없음,모름
서울,197,189,43.5%,39.9%,2.1%,7.8%,1.5%,1.1%,2.6%,0.0%,1.6%
"경기,인천",318,317,47.3%,42.2%,1.3%,4.2%,0.7%,1.3%,0.0%,0.9%,2.2%
"대전,세종,충남북",104,108,40.4%,50.0%,0.9%,3.0%,0.0%,1.0%,0.0%,2.9%,1.9%
"광주,전남북",99,99,66.6%,23.4%,0.0%,5.0%,2.0%,0.0%,2.0%,0.0%,1.0%
"대구,경북",96,98,28.7%,58.7%,0.0%,8.6%,1.0%,2.0%,1.1%,0.0%,0.0%
"부산,울산,경남",151,152,29.3%,58.0%,0.6%,3.4%,0.7%,5.2%,1.3%,0.7%,0.7%
"강원,제주",43,45,36.3%,49.2%,0.0%,12.0%,0.0%,2.4%,0.0%,0.0%,0.0%
