"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름
"계양구,부평구",272,275,34.1%,42.5%,5.6%,8.8%,2.6%,5.1%,1.2%
"남동구,연수구,미추홀구",436,447,36.1%,43.9%,2.5%,11.8%,1.2%,3.5%,1.1%
"동구,서구,중구,강화군,옹진군",300,286,38.8%,43.2%,2.7%,9.4%,1.3%,4.0%,0.6%
,,,,,,,,,
