"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름
서울,183,189,36.80%,51.60%,2.20%,3.50%,1.70%,3.00%,1.20%
"경기,인천",298,314,41.60%,42.70%,3.90%,3.30%,2.90%,3.20%,2.50%
"대전,세종,충남북",117,107,43.30%,44.70%,1.90%,4.20%,1.70%,3.50%,0.70%
"광주,전남북",108,98,63.90%,24.90%,5.70%,1.70%,1.70%,2.00%,0.00%
"대구,경북",101,98,33.50%,51.10%,3.20%,5.70%,1.10%,4.20%,1.30%
"부산,울산,경남",146,150,30.40%,46.90%,3.40%,4.80%,3.30%,8.20%,3.00%
"강원,제주",47,44,49.50%,39.90%,2.40%,0.00%,3.90%,2.00%,2.20%
