"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름
서울,203,188,43.0%,40.0%,3.0%,10.0%,1.0%,0.0%,1.0%,0.0%
"경기,인천",334,316,37.0%,49.0%,3.0%,7.0%,0.0%,1.0%,2.0%,1.0%
"대전,세종,충남북",96,107,33.0%,55.0%,0.0%,7.0%,1.0%,1.0%,2.0%,0.0%
"광주,전남북",97,97,59.0%,23.0%,6.0%,9.0%,0.0%,0.0%,1.0%,3.0%
"대구,경북",92,98,27.0%,57.0%,0.0%,4.0%,1.0%,4.0%,6.0%,1.0%
"부산,울산,경남",137,150,22.0%,56.0%,8.0%,10.0%,1.0%,1.0%,0.0%,2.0%
"강원,제주",41,44,26.0%,66.0%,0.0%,2.0%,0.0%,0.0%,2.0%,3.0%
