"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,
서울,199,193,42.6%,41.2%,4.5%,6.5%,1.0%,2.7%,1.5%,
"경기,인천",322,318,42.5%,41.9%,4.4%,5.9%,2.5%,2.3%,0.5%,
"대전,세종,충남북",100,109,35.0%,48.6%,5.1%,3.2%,2.5%,2.7%,2.8%,
"광주,전남북",110,99,60.0%,30.8%,1.7%,6.0%,0.0%,0.0%,1.6%,
"대구,경북",106,98,29.0%,60.6%,2.4%,5.3%,0.0%,0.9%,1.9%,
"부산,울산,경남",143,152,29.6%,55.7%,6.0%,6.2%,1.3%,0.6%,0.6%,
"강원,제주",34,45,32.4%,61.1%,1.5%,5.0%,0.0%,0.0%,0.0%,
