"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",유보,유보2,
서울,193,193,30.00%,38.00%,5.00%,17.00%,10.00%,0.00%,
"경기,인천",316,316,39.00%,30.00%,4.00%,14.00%,12.00%,1.00%,
"대전,세종,충남북",105,105,35.00%,33.00%,2.00%,17.00%,9.00%,4.00%,
"광주,전남북",99,99,66.00%,8.00%,4.00%,11.00%,11.00%,0.00%,
"대구,경북",96,96,14.00%,56.00%,1.00%,18.00%,10.00%,1.00%,
"부산,울산,경남",147,147,29.00%,41.00%,5.00%,14.00%,10.00%,1.00%,
,,,,,,,,,
