"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",유보,유보2,,
서울,194,194,35%,28%,6%,19%,10%,2%,,
"경기,인천",313,313,41%,29%,3%,16%,10%,1%,,
"대전,세종,충남북",106,106,24%,32%,4%,24%,15%,1%,,
"광주,전남북",99,99,69%,12%,1%,10%,8%,0%,,
"대구,경북",99,99,19%,48%,1%,17%,12%,3%,,
"부산,울산,경남",147,147,33%,37%,1%,13%,11%,5%,,
,,,,,,,,,,
