"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름
서울,192,188,38.5%,47.6%,3.5%,7.5%,0.8%,1.7%,0.4%
"경기,인천",316,316,43.8%,42.1%,3.3%,7.7%,1.8%,0.5%,0.7%
"강원,제주",47,44,39.6%,52.1%,3.5%,3.1%,1.8%,0.0%,0.0%
"대전,세종,충남북",102,106,39.9%,47.9%,2.8%,7.1%,2.3%,0.0%,0.0%
"부산,울산,경남",148,150,30.9%,60.1%,2.5%,4.0%,1.7%,0.9%,0.0%
"대구,경북",102,98,39.4%,50.8%,1.8%,3.5%,4.5%,0.0%,0.0%
"광주,전남북",93,98,60.9%,32.0%,1.1%,5.2%,0.0%,0.8%,0.0%
