"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름
서울,190,189,32.3%,43.7%,1.8%,12.2%,1.5%,4.8%,3.7%
"경기,인천",318,316,38.5%,35.6%,0.9%,10.1%,0.9%,10.4%,3.5%
"대전,세종,충남북",108,107,36.8%,40.8%,1.8%,8.6%,3.6%,7.5%,0.9%
"광주,전남북",104,98,58.1%,11.2%,3.0%,10.9%,1.7%,10.8%,4.2%
"대구,경북",95,98,16.2%,58.6%,6.2%,6.7%,1.0%,6.1%,5.3%
"부산,울산,경남",144,152,23.5%,48.3%,2.2%,9.7%,1.3%,10.7%,4.3%
"강원,제주",45,44,27.0%,44.4%,0.0%,15.9%,2.3%,10.3%,0.0%
