"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름,
서울,216,190,35.0%,36.0%,2.5%,16.6%,0.4%,1.4%,6.2%,2.0%,
"경기,인천",321,318,36.6%,38.0%,2.9%,12.7%,1.2%,2.1%,4.7%,1.8%,
"대전,세종,충남북",105,109,36.0%,36.0%,5.9%,11.6%,0.0%,1.7%,6.9%,1.9%,
"광주,전남북",86,99,56.3%,19.0%,4.7%,13.7%,0.0%,3.6%,2.6%,0.0%,
"대구,경북",96,98,22.0%,56.7%,2.7%,11.0%,0.0%,3.9%,3.7%,0.0%,
"부산,울산,경남",147,152,29.3%,49.2%,2.3%,12.4%,0.0%,1.5%,3.4%,1.9%,
"강원,제주",39,44,38.7%,35.2%,3.3%,5.6%,0.0%,2.5%,11.4%,3.3%,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
