"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,무응답
서울,200,190,26.6%,36.1%,3.0%,12.9%,0.5%,16.4%,2.5%,2.1%
"경기,인천",311,317,32.2%,27.1%,3.0%,14.0%,0.9%,18.7%,3.2%,1.0%
"대전,세종,충남북",103,110,32.3%,24.5%,0.9%,8.1%,0.0%,28.8%,5.5%,0.0%
"광주,전남북",105,100,57.3%,7.2%,1.5%,11.3%,0.0%,18.7%,1.8%,2.1%
"대구,경북",95,97,22.9%,36.0%,1.0%,10.7%,1.4%,22.7%,4.4%,1.0%
"부산,울산,경남",148,151,25.1%,33.2%,0.7%,13.1%,1.5%,21.7%,3.3%,1.4%
"강원,제주",46,43,37.9%,31.0%,0.0%,13.0%,0.0%,16.0%,2.1%,0.0%
