"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름
서울,224,191,35.8%,48.0%,2.4%,7.9%,1.3%,3.6%,1.0%
"부산,울산,경남",145,152,34.6%,46.3%,0.4%,11.2%,1.5%,5.5%,0.4%
"대구,경북",105,99,26.3%,57.2%,2.1%,7.1%,2.7%,4.7%,0.0%
"경기,인천",287,318,42.9%,41.2%,2.6%,7.4%,0.9%,3.9%,1.1%
"광주,전남북",110,99,68.2%,18.2%,2.0%,4.2%,3.3%,4.1%,0.0%
"대전,세종,충남북",87,107,51.5%,35.1%,1.5%,4.7%,0.0%,7.2%,0.0%
강원,35,30,36.5%,53.1%,1.3%,1.3%,0.0%,7.9%,0.0%
제주,16,13,46.2%,48.7%,0.0%,5.1%,0.0%,0.0%,0.0%
