"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",허경영,기타,없음,모름,,
서울,202,194,35.3%,43.9%,4.0%,10.2%,2.8%,0.0%,1.8%,2.1%,,
"경기,인천",318,321,44.1%,39.7%,0.7%,9.2%,3.3%,0.9%,1.6%,0.5%,,
"대전,세종,충남북",99,109,34.3%,50.2%,2.4%,7.9%,2.0%,1.2%,0.9%,1.1%,,
"광주,전남북",100,98,46.1%,35.2%,1.5%,10.4%,2.2%,1.1%,3.5%,0.0%,,
"대구,경북",96,100,24.0%,60.6%,1.6%,8.4%,5.4%,0.0%,0.0%,0.0%,,
"부산,울산,경남",154,152,34.2%,48.9%,7.4%,6.6%,0.0%,0.0%,1.4%,1.4%,,
"강원,제주",49,44,41.3%,46.7%,3.7%,6.1%,2.2%,0.0%,0.0%,0.0%,,
