"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,
서울,242,193,32.3%,41.1%,1.3%,16.0%,3.7%,3.4%,2.2%,
"경기,인천",304,325,36.5%,46.1%,1.2%,11.0%,1.3%,2.5%,1.5%,
"대전,세종,충남북",93,109,38.7%,42.6%,0.0%,9.1%,1.6%,8.0%,0.0%,
강원,31,31,30.1%,44.8%,4.6%,17.7%,0.0%,2.9%,0.0%,
"부산,울산,경남",145,153,33.5%,44.4%,2.3%,14.4%,2.3%,2.3%,0.8%,
"대구,경북",98,101,18.2%,60.7%,5.3%,7.5%,3.5%,4.8%,0.0%,
"광주,전남북",98,99,60.1%,23.5%,1.7%,6.8%,3.0%,2.5%,2.4%,
제주,12,12,53.9%,14.5%,0.0%,11.4%,9.4%,0.0%,10.9%,
