"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,
서울,189,190,37.9%,44.1%,1.7%,5.6%,1.1%,4.2%,5.4%,
"경기,인천",316,317,41.2%,41.3%,2.1%,8.3%,0.9%,3.3%,2.9%,
강원,33,30,32.7%,47.7%,0.0%,5.7%,5.0%,3.4%,5.6%,
"대전,세종,충남북",106,107,36.2%,43.2%,0.9%,14.2%,0.9%,0.0%,4.6%,
"광주,전남북",98,98,69.1%,8.7%,1.9%,8.0%,1.0%,4.8%,6.4%,
"대구,경북",98,98,20.3%,52.1%,4.0%,13.4%,1.9%,2.0%,6.4%,
"부산,울산,경남",153,152,32.1%,45.3%,3.3%,10.1%,1.6%,2.6%,5.0%,
제주,12,13,51.9%,39.3%,0.0%,0.0%,8.8%,0.0%,0.0%,
