"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,
서울,766,578,30.5%,44.1%,3.6%,12.3%,2.2%,5.4%,1.9%,
"경기,인천",972,959,38.9%,43.0%,1.9%,8.4%,1.7%,5.6%,0.6%,
"대전,세종,충남북",296,322,38.3%,40.0%,2.5%,12.9%,0.6%,5.8%,0.0%,
강원,94,91,38.8%,39.7%,1.0%,12.4%,2.9%,5.4%,0.0%,
"부산,울산,경남",378,461,31.5%,46.1%,1.9%,9.2%,3.6%,4.6%,3.1%,
"대구,경북",243,298,23.6%,54.9%,1.5%,10.1%,4.2%,4.8%,0.8%,
"광주,전남북",256,298,61.9%,18.6%,3.9%,9.2%,2.0%,3.2%,1.3%,
제주,41,39,36.0%,42.2%,4.1%,4.4%,5.8%,4.0%,3.5%,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
