"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,
서울,197,190,31.6%,48.1%,3.3%,5.2%,1.5%,1.6%,8.7%,
"경기,인천",334,318,38.0%,39.1%,4.7%,6.3%,1.4%,4.1%,6.4%,
"대전,세종,충남북",107,107,40.9%,37.6%,0.6%,9.5%,0.0%,5.6%,5.7%,
"광주,전남북",104,98,73.4%,9.3%,0.0%,7.2%,0.0%,6.2%,4.0%,
"대구,경북",92,98,13.8%,62.1%,3.1%,4.7%,2.0%,6.1%,8.2%,
"부산,울산,경남",133,152,27.8%,51.8%,2.7%,9.6%,0.0%,2.5%,5.7%,
"강원,제주",39,43,37.6%,48.4%,0.0%,2.3%,0.0%,4.7%,7.0%,
