"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,
서울,205,189,36.4%,42.8%,2.9%,12.9%,0.3%,3.2%,1.4%,
"경기,인천",322,314,37.8%,45.2%,3.3%,9.8%,2.0%,1.2%,0.8%,
"대전,세종,충남북",94,107,40.1%,44.5%,6.1%,6.7%,0.0%,1.2%,1.4%,
"광주,전남북",94,98,65.7%,18.1%,1.6%,7.5%,2.0%,5.0%,0.0%,
"대구,경북",94,98,26.1%,55.7%,4.7%,6.2%,1.1%,6.2%,0.0%,
"부산,울산,경남",148,151,32.7%,52.4%,0.0%,11.0%,2.0%,1.5%,0.5%,
"강원,제주",44,44,34.4%,48.4%,2.5%,9.5%,0.0%,2.6%,2.5%,
