"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,"없음,모름"
청주상당,118,124,28.9%,43.4%,6.7%,13.9%,1.7%,0.8%,4.5%
청주서원,126,124,38.6%,45.5%,2.4%,7.2%,0.8%,0.9%,4.6%
청주흥덕,168,168,40.5%,36.7%,2.4%,14.3%,1.2%,1.8%,3.0%
청주청원,122,120,35.4%,41.8%,3.4%,15.8%,0.0%,1.7%,2.0%
충주,139,137,44.7%,31.5%,4.3%,8.7%,0.7%,1.3%,8.9%
"제천,단양",102,105,38.7%,47.9%,1.9%,4.0%,0.0%,2.8%,4.6%
"보은,옥천,영동,괴산",115,111,34.0%,49.3%,0.0%,10.5%,0.0%,1.8%,4.4%
"증평,진천,음성",135,136,41.2%,45.5%,2.2%,8.2%,0.7%,0.0%,2.2%
