"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름
중구,341,1338,19.60%,58.30%,2.90%,2.50%,1.60%,3.70%,7.20%,4.30%
남구,667,670,21.50%,56.60%,3.50%,4.60%,0.80%,2.60%,6.80%,3.50%
