"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름
서울,199,188,39.00%,42.00%,5.00%,9.00%,1.00%,3.00%,1.00%,1.00%
"경기,인천",301,316,37.00%,45.00%,4.00%,10.00%,0.00%,0.00%,2.00%,1.00%
"대전,세종,충남북",99,107,41.00%,43.00%,4.00%,11.00%,0.00%,2.00%,0.00%,0.00%
"광주,전남북",113,97,68.00%,23.00%,2.00%,2.00%,0.00%,1.00%,3.00%,1.00%
"대구,경북",104,98,22.00%,63.00%,0.00%,11.00%,0.00%,1.00%,3.00%,1.00%
"부산,울산,경남",138,150,31.00%,52.00%,5.00%,8.00%,0.00%,1.00%,3.00%,0.00%
"강원,제주",46,44,39.00%,37.00%,12.00%,10.00%,0.00%,2.00%,0.00%,0.00%
