"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",허경영,기타,없음,모름
서울,230,189,29.7%,45.0%,4.1%,6.7%,3.2%,0.9%,7.5%,2.9%
"경기,인천",354,315,40.2%,42.3%,1.0%,9.9%,3.3%,1.6%,1.5%,0.2%
"대전,세종,충남북",88,106,43.2%,34.8%,7.8%,9.6%,2.8%,0.0%,1.1%,0.7%
"부산,울산,경남",119,152,35.8%,48.3%,0.0%,7.3%,1.7%,1.5%,3.9%,1.5%
"대구,경북",72,98,23.6%,57.9%,4.3%,7.8%,4.4%,2.0%,0.0%,0.0%
"광주,전남북",98,98,61.3%,16.4%,0.0%,12.9%,3.6%,0.0%,3.0%,2.9%
"강원,제주",40,43,30.3%,54.2%,0.0%,3.2%,4.2%,0.0%,3.9%,4.2%
