"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름
서울,194,193,29.7%,45.2%,2.6%,8.4%,1.6%,2.6%,9.9%
"경기,인천",336,324,36.1%,41.0%,2.0%,7.9%,1.4%,4.1%,7.4%
"대전,세종,충남북",107,109,29.5%,48.6%,2.4%,8.9%,2.1%,4.2%,4.2%
"광주,전남북",104,101,68.1%,14.5%,1.6%,5.0%,2.8%,0.0%,8.0%
"대구,경북",96,101,8.2%,65.0%,0.8%,11.9%,2.8%,3.8%,7.4%
"부산,울산,경남",146,156,28.8%,55.8%,1.3%,6.7%,0.0%,0.7%,6.8%
"강원,제주",45,44,51.5%,29.2%,4.5%,1.7%,6.8%,0.0%,6.3%
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
