"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,
서울,188,187,36.0%,26.0%,3.0%,10.0%,3.0%,13.0%,9.0%,
"경기,인천",316,314,42.0%,27.0%,4.0%,7.0%,1.0%,13.0%,6.0%,
"대전,세종,충남북",109,108,42.0%,29.0%,6.0%,2.0%,2.0%,14.0%,6.0%,
"광주,전남북",98,99,65.0%,9.0%,6.0%,3.0%,2.0%,11.0%,4.0%,
"대구,경북",94,97,24.0%,41.0%,10.0%,9.0%,1.0%,8.0%,7.0%,
"부산,울산,경남",152,152,29.0%,35.0%,5.0%,5.0%,4.0%,17.0%,6.0%,
"강원,제주",43,43,30.0%,40.0%,2.0%,7.0%,2.0%,12.0%,7.0%,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
