"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름
서울,214,193,36.9%,24.4%,5.5%,7.8%,3.3%,15.4%,6.8%
"경기,인천",318,325,38.0%,24.2%,3.4%,5.0%,3.5%,18.9%,7.1%
"대전,세종,충남북",102,109,29.7%,24.4%,6.4%,7.4%,2.3%,22.8%,6.9%
"부산,울산,경남",154,154,26.7%,29.1%,1.7%,7.6%,3.4%,23.3%,8.1%
"대구,경북",98,101,22.2%,45.3%,2.6%,4.9%,3.4%,13.1%,8.6%
"광주,전남북",100,100,59.4%,6.7%,2.5%,4.0%,2.0%,16.9%,8.4%
"강원,제주",41,45,38.6%,20.9%,11.9%,2.2%,2.2%,18.4%,5.8%
