"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름
동구,135,126,32.8%,39.0%,5.5%,10.9%,1.4%,3.8%,5.1%,1.4%
중구,131,130,29.4%,42.8%,4.6%,14.9%,0.0%,3.2%,4.1%,1.0%
서구,240,257,32.6%,43.3%,3.4%,9.9%,1.3%,2.4%,6.9%,0.3%
유성구,201,188,32.2%,40.7%,2.9%,17.6%,1.7%,1.2%,3.7%,0.0%
대덕구,93,99,39.2%,37.0%,0.0%,9.4%,0.0%,3.7%,7.6%,3.1%
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
