"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,,
서울,504,388,37.3%,44.4%,2.3%,9.6%,1.0%,4.8%,0.6%,,
"경기,인천",655,647,39.2%,42.1%,1.4%,10.1%,1.0%,5.1%,1.1%,,
"대전,세종,충남북",176,217,47.6%,39.8%,0.0%,6.5%,1.8%,2.6%,1.7%,,
강원,60,61,34.2%,41.8%,5.8%,8.0%,1.7%,4.2%,4.4%,,
"부산,울산,경남",265,311,29.6%,47.3%,3.4%,9.4%,1.7%,4.3%,4.4%,,
"대구,경북",166,200,21.0%,60.6%,0.0%,7.2%,7.1%,2.8%,1.3%,,
"광주,전남북",193,201,69.1%,14.3%,2.1%,5.6%,1.5%,2.2%,5.2%,,
제주,33,27,55.4%,30.9%,0.0%,3.1%,0.0%,10.6%,0.0%,,
