"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,,
서울,226,200,40.1%,38.5%,2.1%,10.0%,1.2%,6.4%,1.8%,,
"부산,울산,경남",158,160,24.9%,51.1%,2.9%,12.4%,1.9%,6.2%,0.7%,,
"대구,경북",106,104,17.9%,61.4%,1.6%,6.9%,1.4%,9.9%,0.9%,,
"경기,인천",314,335,41.9%,37.3%,2.6%,9.6%,1.0%,7.2%,0.4%,,
"광주,전남북",112,104,65.5%,16.2%,2.4%,9.5%,0.6%,2.8%,3.0%,,
"대전,세종,충남북",103,113,38.2%,41.5%,1.6%,11.6%,3.2%,3.5%,0.5%,,
강원,30,32,40.6%,33.2%,3.8%,6.3%,0.0%,16.3%,0.0%,,
제주,13,14,38.1%,40.5%,0.0%,14.3%,0.0%,7.1%,0.0%,,
