"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름
서울,164,190,33.5%,42.8%,5.1%,2.4%,0.6%,2.9%,11.0%,1.8%
"경기,인천",326,315,37.2%,40.7%,3.7%,3.8%,2.1%,4.3%,6.8%,1.4%
"대전,세종,충남북",114,106,45.4%,35.4%,2.8%,4.4%,0.0%,2.0%,7.9%,1.9%
"광주,전남북",106,97,68.6%,11.0%,4.4%,4.9%,0.8%,2.1%,6.8%,1.5%
"대구,경북",104,98,27.0%,48.5%,3.2%,6.0%,0.0%,8.1%,4.7%,2.6%
"부산,울산,경남",154,150,29.6%,47.6%,4.3%,2.5%,0.5%,3.4%,7.5%,4.6%
"강원,제주",57,44,50.1%,27.7%,1.1%,4.2%,1.1%,2.9%,11.7%,1.1%
