"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름
대구,483,475,16.60%,60.70%,2.10%,12.10%,3.10%,5.10%,0.40%
경북,517,525,17.10%,60.60%,2.80%,12.00%,2.50%,4.20%,0.80%
전체,1000,1000,16.90%,60.60%,2.50%,12.00%,2.80%,4.70%,0.60%
