"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름
서울,240,189,32.8%,36.7%,1.8%,19.4%,1.2%,2.2%,5.1%,0.8%
"경기,인천",300,315,42.3%,34.3%,3.7%,11.7%,0.3%,2.1%,4.7%,1.0%
"대전,세종,충남북",97,106,31.9%,39.2%,2.5%,15.0%,0.8%,2.8%,7.7%,0.0%
"광주,전남북",93,98,64.2%,11.8%,3.4%,13.1%,0.0%,3.1%,2.9%,1.5%
"대구,경북",87,98,25.8%,41.9%,0.9%,17.9%,0.0%,3.0%,9.7%,0.9%
"부산,울산,경남",128,151,29.2%,43.3%,0.0%,14.6%,0.0%,3.9%,8.5%,0.6%
"강원,제주",56,44,34.8%,36.2%,1.8%,21.6%,0.0%,0.0%,0.0%,5.6%
