"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,
서울,747,576,36.9%,40.5%,3.4%,7.5%,2.1%,7.6%,2.0%,
"경기,인천",950,955,44.8%,36.0%,1.9%,7.6%,1.8%,5.7%,2.1%,
"대전,세종,충남북",285,322,38.2%,38.0%,6.2%,5.2%,4.6%,5.7%,2.0%,
강원,110,91,35.0%,43.8%,5.7%,6.3%,2.2%,2.0%,5.0%,
"부산,울산,경남",356,460,36.1%,47.0%,1.6%,5.6%,2.2%,5.2%,2.3%,
"대구,경북",263,297,22.5%,58.7%,3.5%,5.3%,2.7%,4.4%,3.0%,
"광주,전남북",282,297,66.5%,16.3%,2.6%,5.5%,3.6%,4.5%,1.0%,
제주,44,39,41.0%,32.8%,7.9%,8.4%,0.0%,9.9%,0.0%,
