"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름
서울,207,190,40.0%,38.7%,1.9%,6.7%,0.5%,4.0%,5.8%,2.4%
"경기,인천",322,315,41.5%,35.4%,3.7%,9.5%,0.8%,1.7%,6.6%,0.8%
"대전,세종,충남북",101,106,26.7%,41.0%,3.6%,18.0%,1.5%,4.6%,4.6%,0.0%
"광주,전남북",93,99,59.9%,20.4%,0.0%,11.0%,2.7%,4.4%,1.5%,0.0%
"대구,경북",83,98,35.6%,49.9%,0.0%,9.3%,0.0%,1.0%,1.0%,3.3%
"부산,울산,경남",149,150,42.5%,38.4%,0.5%,5.7%,2.4%,3.3%,5.5%,1.6%
"강원,제주",47,44,42.0%,36.9%,3.8%,4.5%,0.0%,1.8%,10.9%,0.0%
