"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름
서울,205,189,30.90%,36.00%,1.80%,16.20%,3.00%,3.70%,6.10%,2.20%
"경기,인천",316,317,41.30%,37.20%,4.00%,9.20%,0.90%,1.20%,4.30%,1.90%
"대전,세종,충남북,강원",127,136,34.00%,35.70%,4.80%,15.20%,0.00%,3.40%,5.40%,1.50%
"광주,전남북,제주",121,111,48.10%,24.60%,6.00%,6.00%,1.20%,3.20%,9.50%,1.30%
"대구,경북",90,98,32.00%,46.90%,4.40%,10.80%,0.70%,0.90%,4.30%,0.00%
"부산,울산,경남",144,152,38.10%,42.20%,4.00%,5.80%,0.70%,1.10%,6.20%,1.90%
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
