"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름
"창원시 마산합포구,마산회원구,성산구,의창구,진해구",504,502,28.6%,33.0%,3.5%,6.5%,1.5%,4.5%,14.1%,8.3%
"거제시,고성군,남해군,사천시,진주시,통영시,하동군",463,465,29.2%,33.9%,4.6%,6.3%,0.6%,3.8%,16.9%,4.8%
"김해시,밀양시,양산시",475,475,28.8%,32.6%,3.3%,8.2%,1.0%,3.3%,16.0%,7.0%
"거창군,산청군,의령군,창녕군,함안군,함양군,합천군",168,168,20.2%,46.6%,3.4%,7.7%,0.0%,3.4%,12.2%,6.6%
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
